ExistingAccountStatus,Duration,CreditHistory,Purpose,CreditAmount,SavingsAccount,CurrentEmplymentStatus,InstallmentRate,PersonalStatusAndSex,OtherGuarantors,DurationInCurrentResidence,Property,Age,OtherInstallment,Housing,ExistingCredits,Job,PeopleLiable,Telephone,ForeignWorker,Sex,Marital_Status,ClassificationStatus
No Account,24,existing credits paid back duly till now ,Business,1258,Below 100 DM,"[4, 7) Years",4,"Male, Single",None,1,Real Estate,25,None,Own,1,Skilled,1,yes,yes,Male,Single,1
No Account,12,critical account/ other credits existing (not at this bank),Radio/TV,717,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Real Estate,52,None,Own,3,Skilled,1,no,yes,Male,Single,1
No Account,6,no credits taken/ all credits paid back duly ,Car (New),1204,"[100, 500) DM","[1, 4) Years",4,"Male, Single",None,1,None,35,Bank,Rent,1,Skilled,1,no,no,Male,Single,1
Above 200 DM,24,existing credits paid back duly till now ,Furniture,1925,Below 100 DM,"[1, 4) Years",2,"Male, Single",None,2,Real Estate,26,None,Own,1,Skilled,1,no,yes,Male,Single,1
No Account,18,existing credits paid back duly till now ,Radio/TV,433,Below 100 DM,Unemployed,3,"Female, Divorced",Co-Applicant,4,Real Estate,22,None,Rent,1,Skilled,1,no,yes,Female,Divorced,0
None,6,critical account/ other credits existing (not at this bank),Car (New),666,Above 1000 DM,"[4, 7) Years",3,"Female, Divorced",None,4,Real Estate,39,None,Own,2,Unskilled Resident,1,yes,yes,Female,Divorced,1
Above 200 DM,12,existing credits paid back duly till now ,Furniture,2251,Below 100 DM,"[1, 4) Years",1,"Female, Divorced",None,2,Car,46,None,Own,1,Unskilled Resident,1,no,yes,Female,Divorced,1
Below 200 DM,30,existing credits paid back duly till now ,Car (New),2150,Below 100 DM,"[1, 4) Years",4,"Female, Divorced",Guarantor,2,None,24,Bank,Own,1,Skilled,1,no,yes,Female,Divorced,0
No Account,24,delay in paying off in the past ,Furniture,4151,"[100, 500) DM","[1, 4) Years",2,"Male, Single",None,3,Life Insurance,35,None,Own,2,Skilled,1,no,yes,Male,Single,1
Below 200 DM,9,existing credits paid back duly till now ,Furniture,2030,None,"[4, 7) Years",2,"Male, Single",None,1,Car,24,None,Own,1,Skilled,1,yes,yes,Male,Single,1
Below 200 DM,60,delay in paying off in the past ,Radio/TV,7418,None,"[1, 4) Years",1,"Male, Single",None,1,Real Estate,27,None,Own,1,Unskilled Resident,1,no,yes,Male,Single,1
No Account,24,critical account/ other credits existing (not at this bank),Radio/TV,2684,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,2,Real Estate,35,None,Own,2,Unskilled Resident,1,no,yes,Male,Single,1
None,12,all credits at this bank paid back duly ,Radio/TV,2149,Below 100 DM,"[1, 4) Years",4,"Male, Divorced",None,1,None,29,None,Free,1,Skilled,1,no,yes,Male,Divorced,0
No Account,15,existing credits paid back duly till now ,Car (Used),3812,"[100, 500) DM",<1 Year,1,"Female, Divorced",None,4,Car,23,None,Own,1,Skilled,1,yes,yes,Female,Divorced,1
No Account,11,critical account/ other credits existing (not at this bank),Radio/TV,1154,"[100, 500) DM",Unemployed,4,"Female, Divorced",None,4,Real Estate,57,None,Own,3,Unskilled Resident,1,no,yes,Female,Divorced,1
None,12,existing credits paid back duly till now ,Furniture,1657,Below 100 DM,"[1, 4) Years",2,"Male, Single",None,2,Real Estate,27,None,Own,1,Skilled,1,no,yes,Male,Single,1
None,24,existing credits paid back duly till now ,Radio/TV,1603,Below 100 DM,Above 7 Years,4,"Female, Divorced",None,4,Car,55,None,Own,1,Skilled,1,no,yes,Female,Divorced,1
None,18,critical account/ other credits existing (not at this bank),Car (New),5302,Below 100 DM,Above 7 Years,2,"Male, Single",None,4,None,36,None,Free,3,Executive,1,yes,yes,Male,Single,1
No Account,12,critical account/ other credits existing (not at this bank),Education,2748,Below 100 DM,Above 7 Years,2,"Female, Divorced",None,4,None,57,Bank,Free,3,Unskilled Resident,1,no,yes,Female,Divorced,1
No Account,10,critical account/ other credits existing (not at this bank),Car (New),1231,Below 100 DM,Above 7 Years,3,"Male, Single",None,4,Real Estate,32,None,Own,2,Unskilled Resident,2,no,no,Male,Single,1
Below 200 DM,15,existing credits paid back duly till now ,Radio/TV,802,Below 100 DM,Above 7 Years,4,"Male, Single",None,3,Car,37,None,Own,1,Skilled,2,no,yes,Male,Single,0
No Account,36,critical account/ other credits existing (not at this bank),Business,6304,None,Above 7 Years,4,"Male, Single",None,4,Real Estate,36,None,Own,2,Skilled,1,no,yes,Male,Single,1
No Account,24,existing credits paid back duly till now ,Radio/TV,1533,Below 100 DM,<1 Year,4,"Female, Divorced",None,3,Car,38,Stores,Own,1,Skilled,1,yes,yes,Female,Divorced,1
None,14,existing credits paid back duly till now ,Car (New),8978,Below 100 DM,Above 7 Years,1,"Male, Divorced",None,4,Life Insurance,45,None,Own,1,Executive,1,yes,no,Male,Divorced,0
No Account,24,existing credits paid back duly till now ,Radio/TV,999,None,Above 7 Years,4,"Male, Single",None,2,Car,25,None,Own,2,Skilled,1,no,yes,Male,Single,1
No Account,18,existing credits paid back duly till now ,Car (New),2662,None,"[4, 7) Years",4,"Male, Single",None,3,Life Insurance,32,None,Own,1,Skilled,1,no,no,Male,Single,1
No Account,12,critical account/ other credits existing (not at this bank),Furniture,1402,"[500, 1000) DM","[4, 7) Years",3,"Female, Divorced",None,4,Car,37,None,Rent,1,Skilled,1,yes,yes,Female,Divorced,1
Below 200 DM,48,all credits at this bank paid back duly ,Car (New),12169,None,Unemployed,4,"Male, Single",Co-Applicant,4,None,36,None,Free,1,Executive,1,yes,yes,Male,Single,1
Below 200 DM,48,existing credits paid back duly till now ,Radio/TV,3060,Below 100 DM,"[4, 7) Years",4,"Male, Single",None,4,Real Estate,28,None,Own,2,Skilled,1,no,yes,Male,Single,0
None,30,existing credits paid back duly till now ,Repairs,11998,Below 100 DM,<1 Year,1,"Male, Divorced",None,1,None,34,None,Own,1,Unskilled Resident,1,yes,yes,Male,Divorced,0
No Account,9,existing credits paid back duly till now ,Radio/TV,2697,Below 100 DM,"[1, 4) Years",1,"Male, Single",None,2,Real Estate,32,None,Own,1,Skilled,2,no,yes,Male,Single,1
No Account,18,critical account/ other credits existing (not at this bank),Radio/TV,2404,Below 100 DM,"[1, 4) Years",2,"Female, Divorced",None,2,Car,26,None,Own,2,Skilled,1,no,yes,Female,Divorced,1
None,12,existing credits paid back duly till now ,Furniture,1262,None,Above 7 Years,2,"Male, Divorced",None,4,Life Insurance,49,None,Own,1,Unskilled Resident,1,yes,yes,Male,Divorced,1
No Account,6,existing credits paid back duly till now ,Furniture,4611,Below 100 DM,<1 Year,1,"Female, Divorced",None,4,Life Insurance,32,None,Own,1,Skilled,1,no,yes,Female,Divorced,0
No Account,24,existing credits paid back duly till now ,Radio/TV,1901,"[100, 500) DM","[1, 4) Years",4,"Male, Single",None,4,Car,29,None,Rent,1,Executive,1,yes,yes,Male,Single,1
No Account,15,critical account/ other credits existing (not at this bank),Car (Used),3368,Above 1000 DM,Above 7 Years,3,"Male, Single",None,4,None,23,None,Rent,2,Skilled,1,yes,yes,Male,Single,1
No Account,12,existing credits paid back duly till now ,Furniture,1574,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,2,Real Estate,50,None,Own,1,Skilled,1,no,yes,Male,Single,1
Above 200 DM,18,all credits at this bank paid back duly ,Radio/TV,1445,None,"[4, 7) Years",4,"Male, Single",None,4,Car,49,Bank,Own,1,Unskilled Resident,1,no,yes,Male,Single,1
No Account,15,critical account/ other credits existing (not at this bank),Furniture,1520,None,Above 7 Years,4,"Male, Single",None,4,Life Insurance,63,None,Own,1,Skilled,1,no,yes,Male,Single,1
Below 200 DM,24,critical account/ other credits existing (not at this bank),Car (New),3878,"[100, 500) DM",<1 Year,4,"Male, Divorced",None,2,Car,37,None,Own,1,Skilled,1,yes,yes,Male,Divorced,1
None,47,existing credits paid back duly till now ,Car (New),10722,Below 100 DM,<1 Year,1,"Female, Divorced",None,1,Real Estate,35,None,Own,1,Unskilled Resident,1,yes,yes,Female,Divorced,1
None,48,existing credits paid back duly till now ,Car (Used),4788,Below 100 DM,"[4, 7) Years",4,"Male, Single",None,3,Life Insurance,26,None,Own,1,Skilled,2,no,yes,Male,Single,1
Below 200 DM,48,delay in paying off in the past ,Others,7582,"[100, 500) DM",Unemployed,2,"Male, Single",None,4,None,31,None,Free,1,Executive,1,yes,yes,Male,Single,1
Below 200 DM,12,existing credits paid back duly till now ,Radio/TV,1092,Below 100 DM,"[1, 4) Years",4,"Female, Divorced",Guarantor,4,Real Estate,49,None,Own,2,Skilled,1,yes,yes,Female,Divorced,1
None,24,delay in paying off in the past ,Radio/TV,1024,Below 100 DM,<1 Year,4,"Male, Married/Widowed",None,4,Real Estate,48,Stores,Own,1,Skilled,1,no,yes,Male,Married/Widowed,0
No Account,12,existing credits paid back duly till now ,Business,1076,Below 100 DM,"[1, 4) Years",2,"Male, Married/Widowed",None,2,Real Estate,26,None,Own,1,Skilled,1,yes,no,Male,Married/Widowed,1
Below 200 DM,36,existing credits paid back duly till now ,Car (Used),9398,Below 100 DM,<1 Year,1,"Male, Married/Widowed",None,4,Car,28,None,Rent,1,Executive,1,yes,yes,Male,Married/Widowed,0
None,24,critical account/ other credits existing (not at this bank),Car (Used),6419,Below 100 DM,Above 7 Years,2,"Female, Divorced",None,4,None,44,None,Free,2,Executive,2,yes,yes,Female,Divorced,1
Above 200 DM,42,critical account/ other credits existing (not at this bank),Car (Used),4796,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,None,56,None,Free,1,Skilled,1,no,yes,Male,Single,1
No Account,48,critical account/ other credits existing (not at this bank),Business,7629,None,Above 7 Years,4,"Male, Divorced",None,2,Car,46,Bank,Own,2,Executive,2,no,yes,Male,Divorced,1
Below 200 DM,48,existing credits paid back duly till now ,Furniture,9960,Below 100 DM,<1 Year,1,"Female, Divorced",None,2,Car,26,None,Own,1,Skilled,1,yes,yes,Female,Divorced,0
No Account,12,existing credits paid back duly till now ,Car (Used),4675,None,<1 Year,1,"Female, Divorced",None,4,Car,20,None,Rent,1,Skilled,1,no,yes,Female,Divorced,1
No Account,10,existing credits paid back duly till now ,Car (New),1287,None,Above 7 Years,4,"Male, Single",Co-Applicant,2,Life Insurance,45,None,Own,1,Unskilled Resident,1,no,no,Male,Single,1
No Account,18,existing credits paid back duly till now ,Furniture,2515,Below 100 DM,"[1, 4) Years",3,"Male, Single",None,4,Real Estate,43,None,Own,1,Skilled,1,yes,yes,Male,Single,1
Below 200 DM,21,critical account/ other credits existing (not at this bank),Furniture,2745,Above 1000 DM,"[4, 7) Years",3,"Male, Single",None,2,Car,32,None,Own,2,Skilled,1,yes,yes,Male,Single,1
No Account,6,existing credits paid back duly till now ,Car (New),672,Below 100 DM,Unemployed,1,"Female, Divorced",None,4,Real Estate,54,None,Own,1,"Unemployed, Unskilled",1,yes,yes,Female,Divorced,1
Below 200 DM,36,no credits taken/ all credits paid back duly ,Radio/TV,3804,Below 100 DM,"[1, 4) Years",4,"Female, Divorced",None,1,Car,42,None,Own,1,Skilled,1,yes,yes,Female,Divorced,0
Above 200 DM,24,critical account/ other credits existing (not at this bank),Car (New),1344,None,"[4, 7) Years",4,"Male, Single",None,2,Real Estate,37,Bank,Own,2,Unskilled Resident,2,no,yes,Male,Single,0
None,10,critical account/ other credits existing (not at this bank),Car (New),1038,Below 100 DM,"[4, 7) Years",4,"Male, Single",Co-Applicant,3,Life Insurance,49,None,Own,2,Skilled,1,yes,yes,Male,Single,1
No Account,48,critical account/ other credits existing (not at this bank),Car (New),10127,"[500, 1000) DM","[1, 4) Years",2,"Male, Single",None,2,None,44,Bank,Free,1,Skilled,1,no,yes,Male,Single,0
No Account,6,existing credits paid back duly till now ,Furniture,1543,Above 1000 DM,"[1, 4) Years",4,"Male, Divorced",None,2,Real Estate,33,None,Own,1,Skilled,1,no,yes,Male,Divorced,1
No Account,30,existing credits paid back duly till now ,Car (Used),4811,None,"[4, 7) Years",2,"Female, Divorced",None,4,Life Insurance,24,Stores,Rent,1,Unskilled Resident,1,no,yes,Female,Divorced,1
None,12,existing credits paid back duly till now ,Radio/TV,727,"[100, 500) DM",<1 Year,4,"Male, Married/Widowed",None,3,None,33,None,Own,1,Unskilled Resident,1,yes,yes,Male,Married/Widowed,0
Below 200 DM,8,existing credits paid back duly till now ,Furniture,1237,Below 100 DM,"[1, 4) Years",3,"Female, Divorced",None,4,Real Estate,24,None,Own,1,Skilled,1,no,yes,Female,Divorced,0
Below 200 DM,9,existing credits paid back duly till now ,Car (New),276,Below 100 DM,"[1, 4) Years",4,"Male, Married/Widowed",None,4,Real Estate,22,None,Rent,1,Unskilled Resident,1,no,yes,Male,Married/Widowed,1
Below 200 DM,48,existing credits paid back duly till now ,Others,5381,None,Unemployed,3,"Male, Single",None,4,None,40,Bank,Free,1,"Unemployed, Unskilled",1,yes,yes,Male,Single,1
No Account,24,existing credits paid back duly till now ,Furniture,5511,"[100, 500) DM","[1, 4) Years",4,"Male, Single",None,1,Car,25,Stores,Own,1,Skilled,1,no,yes,Male,Single,1
Above 200 DM,24,existing credits paid back duly till now ,Furniture,3749,Below 100 DM,<1 Year,2,"Female, Divorced",None,4,Car,26,None,Own,1,Skilled,1,no,yes,Female,Divorced,1
Below 200 DM,12,existing credits paid back duly till now ,Car (New),685,Below 100 DM,"[4, 7) Years",2,"Male, Married/Widowed",None,3,Car,25,Bank,Own,1,Unskilled Resident,1,no,yes,Male,Married/Widowed,0
Above 200 DM,4,existing credits paid back duly till now ,Car (New),1494,None,<1 Year,1,"Male, Single",None,2,Real Estate,29,None,Own,1,Unskilled Resident,2,no,no,Male,Single,1
None,36,all credits at this bank paid back duly ,Furniture,2746,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Car,31,Bank,Own,1,Skilled,1,no,yes,Male,Single,0
None,12,existing credits paid back duly till now ,Furniture,708,Below 100 DM,"[1, 4) Years",2,"Male, Single",Guarantor,3,Life Insurance,38,None,Own,1,Unskilled Resident,2,no,yes,Male,Single,1
Below 200 DM,24,existing credits paid back duly till now ,Furniture,4351,None,"[1, 4) Years",1,"Female, Divorced",None,4,Life Insurance,48,None,Own,1,Unskilled Resident,1,yes,yes,Female,Divorced,1
No Account,12,critical account/ other credits existing (not at this bank),Education,701,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,2,Car,32,None,Own,2,Skilled,1,no,yes,Male,Single,1
None,15,delay in paying off in the past ,Furniture,3643,Below 100 DM,Above 7 Years,1,"Female, Divorced",None,4,Life Insurance,27,None,Own,2,Unskilled Resident,1,no,yes,Female,Divorced,1
Below 200 DM,30,critical account/ other credits existing (not at this bank),Car (New),4249,Below 100 DM,Unemployed,4,"Male, Married/Widowed",None,2,Car,28,None,Own,2,Executive,1,no,yes,Male,Married/Widowed,0
None,24,existing credits paid back duly till now ,Radio/TV,1938,Below 100 DM,<1 Year,4,"Male, Divorced",None,3,Life Insurance,32,None,Own,1,Skilled,1,no,yes,Male,Divorced,0
None,24,existing credits paid back duly till now ,Car (Used),2910,Below 100 DM,"[4, 7) Years",2,"Male, Single",None,1,None,34,None,Free,1,Executive,1,yes,yes,Male,Single,1
None,18,existing credits paid back duly till now ,Furniture,2659,Above 1000 DM,"[1, 4) Years",4,"Male, Single",None,2,Car,28,None,Own,1,Skilled,1,no,yes,Male,Single,1
No Account,18,critical account/ other credits existing (not at this bank),Car (New),1028,Below 100 DM,"[1, 4) Years",4,"Female, Divorced",None,3,Real Estate,36,None,Own,2,Skilled,1,no,yes,Female,Divorced,1
None,8,critical account/ other credits existing (not at this bank),Car (New),3398,Below 100 DM,"[4, 7) Years",1,"Male, Single",None,4,Real Estate,39,None,Own,2,Unskilled Resident,1,no,no,Male,Single,1
No Account,12,critical account/ other credits existing (not at this bank),Furniture,5801,None,Above 7 Years,2,"Male, Single",None,4,Life Insurance,49,None,Rent,1,Skilled,1,yes,yes,Male,Single,1
No Account,24,existing credits paid back duly till now ,Car (New),1525,Above 1000 DM,"[4, 7) Years",4,"Female, Divorced",None,3,Car,34,None,Own,1,Skilled,2,yes,yes,Female,Divorced,1
Above 200 DM,36,existing credits paid back duly till now ,Radio/TV,4473,Below 100 DM,Above 7 Years,4,"Male, Single",None,2,Car,31,None,Own,1,Skilled,1,no,yes,Male,Single,1
Below 200 DM,6,existing credits paid back duly till now ,Radio/TV,1068,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Car,28,None,Own,1,Skilled,2,no,yes,Male,Single,1
None,24,critical account/ other credits existing (not at this bank),Car (Used),6615,Below 100 DM,Unemployed,2,"Male, Single",None,4,None,75,None,Free,2,Executive,1,yes,yes,Male,Single,1
No Account,18,critical account/ other credits existing (not at this bank),Education,1864,"[100, 500) DM","[1, 4) Years",4,"Female, Divorced",None,2,Real Estate,30,None,Own,2,Skilled,1,no,yes,Female,Divorced,0
Below 200 DM,60,existing credits paid back duly till now ,Car (New),7408,"[100, 500) DM",<1 Year,4,"Female, Divorced",None,2,Life Insurance,24,None,Own,1,Executive,1,no,yes,Female,Divorced,0
No Account,48,critical account/ other credits existing (not at this bank),Car (Used),11590,"[100, 500) DM","[1, 4) Years",2,"Female, Divorced",None,4,Car,24,Bank,Rent,2,Unskilled Resident,1,no,yes,Female,Divorced,0
None,24,no credits taken/ all credits paid back duly ,Furniture,4110,Below 100 DM,Above 7 Years,3,"Male, Single",None,4,None,23,Bank,Rent,2,Skilled,2,no,yes,Male,Single,0
None,6,critical account/ other credits existing (not at this bank),Furniture,3384,Below 100 DM,"[1, 4) Years",1,"Male, Divorced",None,4,Real Estate,44,None,Rent,1,Executive,1,yes,yes,Male,Divorced,0
Below 200 DM,13,existing credits paid back duly till now ,Radio/TV,2101,Below 100 DM,<1 Year,2,"Female, Divorced",Guarantor,4,Life Insurance,23,None,Own,1,Unskilled Resident,1,no,yes,Female,Divorced,1
None,15,existing credits paid back duly till now ,Appliances,1275,None,"[1, 4) Years",4,"Female, Divorced",None,2,Car,24,None,Rent,1,Skilled,1,no,yes,Female,Divorced,0
None,24,existing credits paid back duly till now ,Furniture,4169,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,4,Life Insurance,28,None,Own,1,Skilled,1,no,yes,Male,Single,1
Below 200 DM,10,existing credits paid back duly till now ,Furniture,1521,Below 100 DM,"[1, 4) Years",4,"Male, Divorced",None,2,Car,31,None,Own,1,Unskilled Resident,1,no,yes,Male,Divorced,1
Below 200 DM,24,critical account/ other credits existing (not at this bank),Education,5743,Below 100 DM,<1 Year,2,"Female, Divorced",None,4,None,24,None,Free,2,Skilled,1,yes,yes,Female,Divorced,1
None,21,existing credits paid back duly till now ,Furniture,3599,Below 100 DM,"[4, 7) Years",1,"Female, Divorced",None,4,Car,26,None,Rent,1,Unskilled Resident,1,no,yes,Female,Divorced,1
Below 200 DM,18,existing credits paid back duly till now ,Radio/TV,3213,"[500, 1000) DM",<1 Year,1,"Male, Married/Widowed",None,3,Real Estate,25,None,Rent,1,Skilled,1,no,yes,Male,Married/Widowed,1
Below 200 DM,18,existing credits paid back duly till now ,Business,4439,Below 100 DM,Above 7 Years,1,"Male, Single",Co-Applicant,1,Real Estate,33,Bank,Own,1,Executive,1,yes,yes,Male,Single,1
Above 200 DM,10,existing credits paid back duly till now ,Car (New),3949,Below 100 DM,<1 Year,1,"Male, Single",Guarantor,1,Life Insurance,37,None,Own,1,Unskilled Resident,2,no,yes,Male,Single,1
No Account,15,critical account/ other credits existing (not at this bank),Radio/TV,1459,Below 100 DM,"[1, 4) Years",4,"Female, Divorced",None,2,Car,43,None,Own,1,Unskilled Resident,1,no,yes,Female,Divorced,1
Below 200 DM,13,critical account/ other credits existing (not at this bank),Radio/TV,882,Below 100 DM,<1 Year,4,"Male, Single",Guarantor,4,Real Estate,23,None,Own,2,Skilled,1,no,yes,Male,Single,1
Below 200 DM,24,existing credits paid back duly till now ,Radio/TV,3758,"[500, 1000) DM",Unemployed,1,"Female, Divorced",None,4,None,23,None,Rent,1,"Unemployed, Unskilled",1,no,yes,Female,Divorced,1
No Account,6,delay in paying off in the past ,Business,1743,"[100, 500) DM","[1, 4) Years",1,"Male, Single",None,2,Real Estate,34,None,Own,2,Unskilled Resident,1,no,yes,Male,Single,1
Below 200 DM,9,critical account/ other credits existing (not at this bank),Education,1136,Above 1000 DM,Above 7 Years,4,"Male, Single",None,3,None,32,None,Free,2,Skilled,2,no,yes,Male,Single,0
No Account,9,existing credits paid back duly till now ,Appliances,1236,Below 100 DM,<1 Year,1,"Female, Divorced",None,4,Real Estate,23,None,Rent,1,Skilled,1,yes,yes,Female,Divorced,1
Below 200 DM,9,existing credits paid back duly till now ,Furniture,959,Below 100 DM,"[1, 4) Years",1,"Female, Divorced",None,2,Car,29,None,Own,1,Skilled,1,no,no,Female,Divorced,0
No Account,18,critical account/ other credits existing (not at this bank),Car (Used),3229,None,Unemployed,2,"Male, Single",None,4,None,38,None,Own,1,Executive,1,yes,yes,Male,Single,1
None,12,no credits taken/ all credits paid back duly ,Radio/TV,6199,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,2,Life Insurance,28,None,Rent,2,Skilled,1,yes,yes,Male,Single,0
No Account,10,existing credits paid back duly till now ,Education,727,"[500, 1000) DM",Above 7 Years,4,"Male, Single",None,4,None,46,None,Free,1,Skilled,1,yes,yes,Male,Single,1
Below 200 DM,24,existing credits paid back duly till now ,Car (New),1246,Below 100 DM,<1 Year,4,"Male, Single",None,2,Real Estate,23,Stores,Own,1,Unskilled Resident,1,no,yes,Male,Single,0
No Account,12,critical account/ other credits existing (not at this bank),Radio/TV,2331,None,Above 7 Years,1,"Male, Single",Co-Applicant,4,Real Estate,49,None,Own,1,Skilled,1,yes,yes,Male,Single,1
No Account,36,delay in paying off in the past ,Radio/TV,4463,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,2,Car,26,None,Own,2,Executive,1,yes,yes,Male,Single,0
No Account,12,existing credits paid back duly till now ,Radio/TV,776,Below 100 DM,"[1, 4) Years",4,"Male, Married/Widowed",None,2,Real Estate,28,None,Own,1,Skilled,1,no,yes,Male,Married/Widowed,1
None,30,existing credits paid back duly till now ,Furniture,2406,Below 100 DM,"[4, 7) Years",4,"Female, Divorced",None,4,Real Estate,23,None,Rent,1,Skilled,1,no,yes,Female,Divorced,0
Below 200 DM,18,existing credits paid back duly till now ,Education,1239,None,"[1, 4) Years",4,"Male, Single",None,4,None,61,None,Free,1,Skilled,1,no,yes,Male,Single,1
Above 200 DM,12,existing credits paid back duly till now ,Radio/TV,3399,None,Above 7 Years,2,"Male, Single",None,3,Car,37,None,Own,1,Executive,1,no,yes,Male,Single,1
Above 200 DM,12,delay in paying off in the past ,Car (New),2247,Below 100 DM,"[1, 4) Years",2,"Female, Divorced",None,2,Car,36,Stores,Own,2,Skilled,1,yes,yes,Female,Divorced,1
No Account,6,existing credits paid back duly till now ,Furniture,1766,Below 100 DM,"[1, 4) Years",1,"Male, Married/Widowed",None,2,Life Insurance,21,None,Rent,1,Skilled,1,no,yes,Male,Married/Widowed,1
None,18,existing credits paid back duly till now ,Furniture,2473,Below 100 DM,Unemployed,4,"Male, Single",None,1,Car,25,None,Own,1,"Unemployed, Unskilled",1,no,yes,Male,Single,0
No Account,12,existing credits paid back duly till now ,Business,1542,Below 100 DM,"[4, 7) Years",2,"Male, Single",None,4,Car,36,None,Own,1,Skilled,1,yes,yes,Male,Single,1
No Account,18,critical account/ other credits existing (not at this bank),Car (Used),3850,Below 100 DM,"[4, 7) Years",3,"Male, Single",None,1,Car,27,None,Own,2,Skilled,1,no,yes,Male,Single,1
None,18,existing credits paid back duly till now ,Furniture,3650,Below 100 DM,<1 Year,1,"Female, Divorced",None,4,Car,22,None,Rent,1,Skilled,1,no,yes,Female,Divorced,1
None,36,existing credits paid back duly till now ,Furniture,3446,Below 100 DM,Above 7 Years,4,"Male, Single",None,2,Car,42,None,Own,1,Skilled,2,no,yes,Male,Single,0
Below 200 DM,18,existing credits paid back duly till now ,Furniture,3001,Below 100 DM,"[4, 7) Years",2,"Female, Divorced",None,4,Real Estate,40,None,Rent,1,Skilled,1,no,yes,Female,Divorced,1
No Account,36,existing credits paid back duly till now ,Car (New),3079,None,"[1, 4) Years",4,"Male, Single",None,4,Real Estate,36,None,Own,1,Skilled,1,no,yes,Male,Single,1
No Account,18,critical account/ other credits existing (not at this bank),Radio/TV,6070,Below 100 DM,Above 7 Years,3,"Male, Single",None,4,Car,33,None,Own,2,Skilled,1,yes,yes,Male,Single,1
No Account,10,critical account/ other credits existing (not at this bank),Furniture,2146,Below 100 DM,<1 Year,1,"Female, Divorced",None,3,Real Estate,23,None,Rent,2,Skilled,1,no,yes,Female,Divorced,1
No Account,60,critical account/ other credits existing (not at this bank),Car (New),13756,None,Above 7 Years,2,"Male, Single",None,4,None,63,Bank,Free,1,Executive,1,yes,yes,Male,Single,1
Below 200 DM,60,all credits at this bank paid back duly ,Others,14782,"[100, 500) DM",Above 7 Years,3,"Female, Divorced",None,4,None,60,Bank,Free,2,Executive,1,yes,yes,Female,Divorced,0
None,48,all credits at this bank paid back duly ,Business,7685,Below 100 DM,"[4, 7) Years",2,"Female, Divorced",Guarantor,4,Car,37,None,Rent,1,Skilled,1,no,yes,Female,Divorced,0
No Account,18,delay in paying off in the past ,Radio/TV,2320,Below 100 DM,Unemployed,2,"Male, Married/Widowed",None,3,Real Estate,34,None,Own,2,Skilled,1,no,yes,Male,Married/Widowed,1
No Account,7,delay in paying off in the past ,Radio/TV,846,None,Above 7 Years,3,"Male, Single",None,4,None,36,None,Free,1,Skilled,1,no,yes,Male,Single,1
Below 200 DM,36,existing credits paid back duly till now ,Car (New),14318,Below 100 DM,Above 7 Years,4,"Male, Single",None,2,None,57,None,Free,1,Executive,1,yes,yes,Male,Single,0
No Account,6,critical account/ other credits existing (not at this bank),Car (New),362,"[100, 500) DM","[1, 4) Years",4,"Female, Divorced",None,4,Car,52,None,Own,2,Unskilled Resident,1,no,yes,Female,Divorced,1
None,20,existing credits paid back duly till now ,Furniture,2212,None,"[4, 7) Years",4,"Male, Single",None,4,Car,39,None,Own,1,Skilled,1,yes,yes,Male,Single,1
Below 200 DM,18,existing credits paid back duly till now ,Car (Used),12976,Below 100 DM,Unemployed,3,"Female, Divorced",None,4,None,38,None,Free,1,Executive,1,yes,yes,Female,Divorced,0
No Account,22,existing credits paid back duly till now ,Car (New),1283,None,"[4, 7) Years",4,"Female, Divorced",None,4,Life Insurance,25,None,Rent,1,Skilled,1,no,yes,Female,Divorced,1
Above 200 DM,12,existing credits paid back duly till now ,Car (New),1330,Below 100 DM,<1 Year,4,"Male, Single",None,1,Real Estate,26,None,Own,1,Skilled,1,no,yes,Male,Single,1
No Account,30,delay in paying off in the past ,Business,4272,"[100, 500) DM","[1, 4) Years",2,"Male, Single",None,2,Life Insurance,26,None,Own,2,Unskilled Resident,1,no,yes,Male,Single,1
No Account,18,critical account/ other credits existing (not at this bank),Radio/TV,2238,Below 100 DM,"[1, 4) Years",2,"Female, Divorced",None,1,Car,25,None,Own,2,Skilled,1,no,yes,Female,Divorced,1
No Account,18,existing credits paid back duly till now ,Radio/TV,1126,None,<1 Year,4,"Female, Divorced",None,2,Real Estate,21,None,Rent,1,Skilled,1,yes,yes,Female,Divorced,1
Below 200 DM,18,critical account/ other credits existing (not at this bank),Furniture,7374,Below 100 DM,Unemployed,4,"Male, Single",None,4,Life Insurance,40,Stores,Own,2,Executive,1,yes,yes,Male,Single,1
Below 200 DM,15,critical account/ other credits existing (not at this bank),Business,2326,"[500, 1000) DM","[1, 4) Years",2,"Male, Single",None,4,Car,27,Bank,Own,1,Skilled,1,no,yes,Male,Single,1
